Title,Score,Very negative,Negative,Neutral,Positive,Very positive,Total,
batman.arkham.knight.review.xbox.one.PC.PS4.txt,10,0,27,6,14,0,47,
the.legend.of.zelda.breath.of.the.wild.review.nintendo.switch.wii.u.txt,10,2,46,8,24,5,85,
escape.dead.island.review.txt,2,4,28,10,1,0,43,
ghostbusters.2016.video.game.review.xbox.one.ps4.pc.txt,2,0,28,8,9,0,45,
shadow.of.the.beast.review.PS4.txt,3,3,30,8,5,0,46,
teenage.mutant.ninja.turtles.mutants.in.manhattan.review.txt,3,5,36,23,5,0,69,
umbrella.corps.review.ps4.PC.txt,3,0,26,4,6,0,36,
nba.playgrounds.review.txt,4.5,5,45,5,5,0,60,
the.crew.review.xbox.one.ps4.PC.txt,4.5,1,75,9,15,0,100,
valkyria.revolution.review.txt,4.5,2,52,7,9,1,71,
friday.the.13th.the.game.review.jason.txt,4,3,54,8,4,1,70,
agents.of.mayhem.review.pc.windows.ps4.xbox.one.playstation.4.volition.saints.row.txt,5.5,2,37,4,13,0,56,
ever.oasis.review.nintendo.3ds.txt,5.5,2,28,0,10,1,41,
fantasy.life.review.nintendo.3ds.txt,5.5,2,24,2,12,2,42,
lego.marvels.avengers.review.txt,5.5,2,18,5,9,1,35,
mad.max.review.ps4.playstion.4.xbox.one.pc.windows.txt,5.5,1,47,7,12,1,68,
necropolis.review.pc.ps4.playstation.4.xbox.one.txt,5.5,1,49,13,14,0,77,
slayer.shock.review.txt,5.5,2,40,5,7,0,54,
the.long.journey.home.review.pc.daedalic.entertainment.txt,5.5,1,40,7,5,0,53,
the.order.1886.review.PS4.playstation.4.exclusive.txt,5.5,1,26,3,8,0,38,
wwe.2k15.review.xbox.one.ps4.txt,5.5,2,30,9,13,0,54,
yooka.laylee.review.xbox.one.pc.playstation.4.txt,5.5,1,23,6,8,0,38,
aven.colony.review.txt,5,1,38,6,7,0,52,
destiny.the.dark.below.review.no.light.above.txt,5,2,30,3,9,0,44,
drawn.to.death.review.txt,5,0,47,5,6,1,59,
h1z1.review.txt,5,4,85,18,28,1,136,
kings.quest.chapter.2.review.xbox.one.ps4.pc.txt,5,0,36,6,7,0,49,
metroid.prime.federation.force.review.txt,5,2,27,4,9,0,42,
mighty.no.9.review.txt,5,3,37,13,9,1,63,
rain.world.review.pc.windows.ps4.playstation.4.txt,5,4,42,14,14,0,74,
reservoir.dogs.bloody.days.review.txt,5,2,37,9,4,1,53,
shadow.warrior.2.review.PS4.PC.Xbox.one.txt,5,5,47,10,14,0,76,
star.ocean.integrity.and.faithlessness.review.playstation.4.ps4.square.enix.txt,5,3,32,7,3,0,45,
the.legend.of.korra.review.avatar.last.airbender.txt,5,1,24,5,8,0,38,
adrift.review.adr1ft.pc.oculus.rift.vr.txt,6.5,0,37,1,10,0,48,
assassins.creed.unity.review.xbox.one.PS4.PC.txt,6.5,0,52,4,16,0,72,
breached.review.txt,6.5,1,31,7,11,1,51,
dragon.quest.heroes.2.review.PS4.txt,6.5,1,32,6,9,0,48,
dreamfall.chapters.book.2.rebels.review.pc.mac.linux.txt,6.5,0,25,6,11,0,42,
dying.light.review.xbox.one.ps4.PC.txt,6.5,8,54,6,14,0,82,
fire.emblem.echoes.shadows.of.valentia.review.txt,6.5,1,56,3,5,1,66,
game.of.thrones.telltale.episode.1.review.xbox.one.ps4.PC.txt,6.5,2,28,3,6,0,39,
kathy.rain.review.txt,6.5,1,24,0,14,1,40,
kings.quest.review.chapter.1.xbox.one.ps4.pc.txt,6.5,0,29,11,11,2,53,
lawbreakers.review.txt,6.5,0,40,11,21,0,72,
life.is.strange.episode.3.chaos.theory.review.txt,6.5,4,41,14,16,0,75,
life.is.strange.episode.4.review.dark.room.txt,6.5,2,60,15,27,3,107,
life.is.strange.episode.5.review.polarized.txt,6.5,2,98,22,24,0,146,
mario.and.luigi.paper.jam.review.3ds.txt,6.5,0,33,4,8,1,46,
mario.party.10.review.wii.u.txt,6.5,1,30,6,16,1,54,
nhl.18.review.ea.sports.electronic.arts.txt,6.5,3,36,7,12,0,58,
not.a.hero.review.pc.ps4.playstation.4.vita.windows.steam.txt,6.5,0,30,3,5,0,38,
paper.mario.color.splash.review.wii.u.txt,6.5,2,57,7,10,3,79,
perception.review.txt,6.5,1,23,3,8,0,35,
recore.review.xbox.one.windows.10.PC.txt,6.5,3,41,3,13,1,61,
return.to.popolocrois.a.story.of.seasons.fairytale.review.txt,6.5,1,35,7,3,1,47,
rime.review.txt,6.5,0,21,9,9,1,40,
sid.meiers.starships.review.PC.iOS.txt,6.5,1,30,2,9,2,44,
sniper.elite.4.review.pc.ps4.xbox.one.rebellion.txt,6.5,1,48,8,6,0,63,
songbringer.review.txt,6.5,1,23,2,15,0,41,
street.fighter.5.review.PS4.PC.txt,6.5,2,33,4,10,0,49,
the.fidelio.incident.review.pc.txt,6.5,0,20,2,11,0,33,
titan.souls.review.PC.PS4.txt,6.5,2,35,5,7,1,50,
transformers.devastation.review.txt,6.5,1,25,4,9,0,39,
until.dawn.review.ps4.playstation.4.supermassive.games.horror.txt,6.5,5,39,12,16,1,73,
a.city.sleeps.review.pc.harmonix.txt,6,2,22,3,6,0,33,
alone.with.you.review.txt,6,0,45,8,5,0,58,
animal.crossing.happy.home.designer.review.3ds.txt,6,1,21,6,13,0,41,
birthdays.the.beginning.review.txt,6,2,48,10,6,0,66,
code.name.s.t.e.a.m.review.off.the.rails.txt,6,5,35,7,7,0,54,
crash.bandicoot.n.sane.trilogy.review.ps4.txt,6,0,31,6,11,0,48,
feist.review.pc.mac.linux.txt,6,2,54,5,4,4,69,
ghost.recon.wildlands.review.tom.clancy.clancys.ubisoft.ps4.playstation.4.xbox.one.pc.windows.steam.txt,6,0,40,6,18,1,65,
homefront.the.revolution.review.PC.PS4.Xbox.one.txt,6,2,28,5,13,0,48,
kholat.review.txt,6,1,27,4,7,2,41,
mafia.3.review.ps4.playstation.4.pc.xbox.one.2k.games.hangar.13.txt,6,3,73,11,14,1,102,
nba.2k15.review.xbox.one.ps4.txt,6,2,46,5,12,0,65,
nba.live.15.review.xbox.one.PS4.txt,6,3,32,5,11,0,51,
no.mans.sky.review.ps4.playstation.4.pc.windows.hello.games.sony.txt,6,7,33,9,11,1,61,
rainbow.six.siege.review.txt,6,3,61,9,8,0,81,
rory.mcilroy.pga.tour.review.ps4.xbox.one.txt,6,1,31,7,13,0,52,
ruiner.review.txt,6,2,31,4,5,0,42,
saints.row.gat.out.of.hell.playstation.4.ps4.xbox.one.pc.review.txt,6,2,18,5,8,0,33,
the.elder.scrolls.online.review.txt,6,3,83,15,21,0,122,
tumbleseed.review.txt,6,2,31,8,9,1,51,
ultra.street.fighter.2.review.txt,6,1,34,2,9,1,47,
unravel.review.xbox.one.ps4.PC.txt,6,3,35,3,9,1,51,
abzu.review.ps4.pc.playstation.4.txt,7.5,1,28,8,9,0,46,
assassins.creed.chronicles.china.review.ps4.xbox.one.playstation.4.pc.txt,7.5,4,19,5,9,1,38,
battleborn.review.gearbox.software.ps4.pc.xbox.one.txt,7.5,1,70,10,36,3,120,
bound.review.ps4.playstation.4.plastic.studios.txt,7.5,2,19,6,22,1,50,
chroma.squad.review.pc.steam.txt,7.5,0,21,3,10,0,34,
conarium.review.h.p.lovecraft.at.the.mountains.of.madness.game.txt,7.5,1,27,2,9,0,39,
destiny.rise.of.iron.review.txt,7.5,0,40,12,13,3,68,
digimon.story.cyber.sleuth.review.txt,7.5,2,32,5,16,1,56,
driveclub.review.ps4.playstation.4.txt,7.5,1,28,8,27,5,69,
edge.of.nowhere.review.insomniac.vr.oculus.rift.pc.windows.txt,7.5,0,23,7,6,1,37,
farpoint.review.playstation.vr.psvr.txt,7.5,2,34,4,10,0,50,
fortnite.review.pc.ps4.xbox.one.epic.games.txt,7.5,2,50,9,28,1,90,
