13 Hours,3,1,-1,-1,0,0,0,-1,0,-1,-1,-1,1,-1,0,-2,0,0,-1,-1,-1,-1,0,1,-1,-1,-1,-1,1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th Century Women,3,1,1,0,-1,-1,-1,-1,-1,0,-1,1,1,0,-1,1,-1,-1,1,0,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Flights up,2.5,-1,1,1,-1,2,-1,-1,-1,-1,1,0,0,-1,-1,1,1,-1,-1,-1,-1,-1,0,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99 Homes,3,-1,-1,1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-2,1,-1,-1,-1,-1,2,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
A Brillliant Young Minds,3,-1,1,1,-1,1,1,0,0,-1,0,-1,-1,-1,1,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Dogs Purpose,2,1,-1,-1,0,-1,1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,,,,,,,,,,,,,,,,,,,
A Ghost Story,3,1,-1,0,1,-1,-1,0,-1,-1,0,-1,1,-1,1,-1,-1,-1,-1,0,-1,0,-1,0,-1,0,-1,0,0,-1,1,-1,1,-1,-1,-1,0,1,-1,1,1,-1,-1,-1,,,,,,,,,,,,,,
A girl like hetr,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Monster Calls,2.5,1,0,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,2,1,-1,-1,1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Most Violent Year,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Perfect Day,3.5,-1,1,-1,1,-1,-1,-1,0,-1,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A United Kingdom,3,1,1,-1,-1,1,-1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,1,0,1,1,-1,1,0,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Walk IN THe Woods,2,-1,-1,2,-1,-1,1,-1,-1,-1,-1,-2,0,-2,-1,0,-1,-1,-1,-1,0,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accidental Love,1,0,0,1,-1,-1,-1,1,2,-1,-1,1,-1,-1,0,-1,-1,-1,-2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adderall Diaries,2,-1,-1,1,1,-2,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Beginners,3,-1,-1,1,-1,1,1,-1,1,0,-1,0,1,1,1,0,1,-1,1,-1,2,-1,-1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alice Through The Looking Glass,1.5,-1,-2,1,-1,1,-1,-1,-1,-2,-1,-1,-1,-1,-1,0,-1,-1,1,-1,0,0,1,0,1,-1,1,-1,-1,-1,0,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,
Alien Covenant,3,-1,0,0,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,2,1,-1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,
All Eyes On Me,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All I See Is You,1.5,-1,1,-1,0,0,0,0,-1,-1,-1,0,1,1,-1,0,0,-1,-1,-1,-1,1,-1,0,1,-1,-1,1,0,0,-1,-1,0,0,1,-1,1,0,1,0,0,-1,-1,,,,,,,,,,,,,,,
All The Way,3.5,-1,-1,1,2,-1,-1,-1,1,-1,-1,-1,-1,0,-1,1,1,1,1,1,2,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allied,3,0,-1,-1,-1,-1,-1,1,1,1,-1,-1,0,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,-1,0,-1,0,-1,-1,0,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Almost Christmas,1.5,1,-1,0,1,-1,1,0,0,0,0,1,0,-1,-1,0,1,-1,1,-1,-2,-1,-2,-1,0,-1,0,1,0,-1,-1,1,1,-1,1,2,-1,0,,,,,,,,,,,,,,,,,,,,
Aloft,1.5,0,-1,1,-1,-1,-1,1,-1,0,-1,-1,-1,-1,1,1,0,-1,-1,-1,0,0,-1,-1,-1,0,1,1,0,-1,-1,1,2,1,-1,,,,,,,,,,,,,,,,,,,,,,,
Aloha,3,-1,-2,-1,-1,-1,2,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,0,-1,1,-1,-1,1,-1,-1,1,1,-1,1,-1,-1,0,1,-1,1,0,1,1,-1,0,,,,,,,,,,,,,,,,
Alone in Berlin,3,-1,-1,-1,1,-1,-1,-1,2,0,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,-1,-1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Assassin,2,-1,0,1,-1,0,0,-1,0,-1,-1,0,-1,-2,0,-1,-1,0,-1,1,-1,1,1,1,0,-1,0,-1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,1,-1,-1,0,,,,,,,,,,,,,,,,
American Honey,3.5,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Made,3.5,-1,-1,-1,1,2,-1,-1,-1,1,-1,1,-1,1,-1,1,0,0,-2,-1,-1,0,-1,0,-1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Pastoral,1.5,-1,-1,-1,-1,-1,-1,0,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Sniper,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An Honest Liar,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anesthesia,1.5,-1,-1,0,-2,-1,1,1,-1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animals,4,-1,1,1,-2,-1,-1,0,-1,-1,-1,-1,0,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Anomolisa,4,-1,-1,1,-1,-1,0,1,0,1,-1,-1,-1,-1,-1,-1,1,0,0,2,-1,-1,1,0,-1,-1,-1,-1,1,-1,1,2,0,0,1,0,0,-1,1,-1,0,0,,,,,,,,,,,,,,,,
Ant Man,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ardor,3,-1,1,1,1,1,1,0,0,1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrival,3.5,-1,-1,1,1,1,2,-1,-1,-1,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arsenal,1,-1,0,0,1,-1,1,-2,-2,-1,-1,-1,-2,2,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atomic Blonde,3.5,-1,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,-1,0,-1,1,2,-1,1,0,1,-1,1,-1,1,1,-1,-1,2,-1,-1,-1,1,,,,,,,,,,,,,,,,,
Avengers Age of Ultron,3.5,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby Driver,4,0,2,0,1,0,0,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,2,-1,1,2,1,1,-1,-1,0,-1,-1,1,-1,-1,1,0,2,1,,,,,,,,,,,,,,
Bad Hurt,3.5,0,-1,-1,1,0,-1,1,-1,1,-1,0,-1,2,-1,-1,-1,-1,1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bad Moms Christmas,1.5,-1,-1,-1,-1,-1,0,-1,-1,-1,1,0,-1,-1,-1,1,-1,-1,1,-1,0,-1,-1,-1,0,0,0,1,1,-1,-1,0,0,-1,-1,-1,0,0,-1,0,0,-2,1,0,-1,1,-1,-1,,,,,,,,,,
Bad Moms,3,-2,-1,0,-1,0,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-2,-2,-1,-1,-1,0,1,-1,0,-2,-1,0,-1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Bad Santa 2,1.5,0,-1,-1,-1,1,-2,-1,1,-1,-1,-2,-1,-1,-1,1,-1,0,1,-1,0,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbershop The Next Cut,3.5,0,-1,-1,0,1,-1,0,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batkid Begins,2,1,1,-1,-1,0,1,0,-2,0,-1,1,-1,-1,1,2,-1,0,-1,0,-1,-1,-1,1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batman v Superman,3,0,-1,-1,1,-1,2,1,1,-1,-1,1,1,1,-1,-1,-1,-1,1,-1,1,-1,1,0,0,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,-1,1,-1,0,,,,,,,,,,
Battle of the Sexes,3.5,0,1,0,-1,1,-1,0,1,0,-1,0,-1,-1,0,-1,1,-1,-1,1,-1,-1,-1,-1,0,-1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baywatch,1.5,0,0,-1,-1,-1,-1,-1,-1,1,-1,0,1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-2,-1,1,-1,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
Beatriz at Dinner,2.5,-1,1,0,0,1,-1,1,-1,1,0,1,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,2,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beats of no Nation,3.5,0,1,0,1,0,-1,-1,-1,-1,1,0,-1,1,-1,-1,-1,0,1,1,-1,2,1,-1,1,-1,-1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
